start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
34.6435,34.6581,23750.0,37077.0,Echolocation,0.656,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
34.8045,34.8197,23750.0,35924.0,Echolocation,0.625,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
35.0595,35.0771,23750.0,36850.0,Echolocation,0.639,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
35.2195,35.2364,23750.0,36160.0,Echolocation,0.592,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
35.3745,35.3915,23750.0,35839.0,Echolocation,0.571,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
35.5195,35.5341,23750.0,35020.0,Echolocation,0.575,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
35.7735,35.7908,23750.0,33911.0,Echolocation,0.547,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
35.9255,35.9457,23750.0,35324.0,Echolocation,0.532,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
36.0935,36.1107,24609.0,39486.0,Echolocation,0.572,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
36.2625,36.2785,24609.0,39272.0,Echolocation,0.674,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
36.4045,36.4184,24609.0,39169.0,Echolocation,0.674,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
36.5345,36.5461,25468.0,41381.0,Echolocation,0.74,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
36.6565,36.667500000000004,26328.0,42906.0,Echolocation,0.701,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
36.7585,36.7671,26328.0,40969.0,Echolocation,0.702,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
36.8365,36.8429,26328.0,40258.0,Echolocation,0.613,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
36.8935,36.8996,25468.0,38309.0,Echolocation,0.55,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
36.9355,36.9395,23750.0,36479.0,Echolocation,0.652,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
37.3365,37.3486,25468.0,39769.0,Echolocation,0.73,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
37.4645,37.4801,24609.0,39097.0,Echolocation,0.624,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
37.6105,37.626,23750.0,37898.0,Echolocation,0.716,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
37.8635,37.8828,23750.0,34231.0,Echolocation,0.548,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
38.1375,38.1546,23750.0,32347.0,Echolocation,0.534,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
38.3115,38.3266,23750.0,32867.0,Echolocation,0.611,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
38.5925,38.6104,23750.0,32736.0,Echolocation,0.503,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
38.8775,38.8946,23750.0,30341.0,Echolocation,0.533,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
39.3475,39.366,24609.0,40062.0,Echolocation,0.529,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
39.5165,39.532,25468.0,42833.0,Echolocation,0.519,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
39.8595,39.8761,25468.0,44298.0,Echolocation,0.548,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
40.0045,40.016999999999996,25468.0,41701.0,Echolocation,0.57,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
40.1255,40.1361,28046.0,44833.0,Echolocation,0.53,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
40.2215,40.2316,28046.0,44488.0,Echolocation,0.594,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
40.3065,40.316,27187.0,47623.0,Echolocation,0.565,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
40.3715,40.379,27187.0,49199.0,Echolocation,0.53,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
40.4155,40.422200000000004,26328.0,44662.0,Echolocation,0.553,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
40.4525,40.457300000000004,22890.0,42895.0,Echolocation,0.518,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
40.9095,40.9203,26328.0,36463.0,Echolocation,0.626,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.0505,41.0638,24609.0,43671.0,Echolocation,0.68,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.1525,41.1639,22890.0,28818.0,Echolocation,0.554,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.1915,41.2059,24609.0,43737.0,Echolocation,0.651,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.3285,41.341300000000004,25468.0,48323.0,Echolocation,0.712,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.5305,41.5462,22031.0,30264.0,Echolocation,0.535,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.5585,41.5707,25468.0,48578.0,Echolocation,0.718,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.6685,41.6791,22890.0,29579.0,Echolocation,0.619,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.6865,41.698499999999996,27187.0,44701.0,Echolocation,0.619,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.8215,41.833600000000004,26328.0,45417.0,Echolocation,0.69,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.9195,41.9321,22031.0,29637.0,Echolocation,0.58,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
41.9535,41.9654,26328.0,42611.0,Echolocation,0.662,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
42.0645,42.0764,22031.0,28752.0,Echolocation,0.594,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
